Kategori,Nama,Harga,Stok,Deskripsi
Makanan,Nasi Goreng Special,25000,15,Nasi goreng dengan ayam, telur, dan sayuran segar
Makanan,Ayam Bakar Madu,35000,8,Ayam bakar dengan saus madu dan rempah-rempah
Minuman,Es Teh Manis,5000,25,Teh manis dingin yang menyegarkan
Minuman,Jus Jeruk Segar,12000,12,Jus jeruk murni tanpa gula tambahan
Elektronik,Power Bank 10000mAh,150000,5,Power bank berkapasitas tinggi untuk kebutuhan sehari-hari
Elektronik,Kabel USB Type-C,25000,20,Kabel USB Type-C universal untuk berbagai perangkat
Perlengkapan,Tas Sekolah Anak,75000,3,Tas sekolah tahan lama dengan desain anak-anak
Perlengkapan,Botol Minum Stainless,45000,10,Botol minum stainless steel anti karat
Makanan,Bakso Urat Jumbo,18000,6,Bakso urat jumbo dengan kuah kaldu sapi
Minuman,Kopi Hitam,8000,18,Kopi hitam pekat tanpa gula
Lainnya,Buku Tulis Campus,5000,30,Buku tulis campus 100 lembar
Lainnya,Pensil 2B,2000,50,Pensil 2B berkualitas untuk menulis dan menggambar
,Sarden Vitan,Rp 10000,20,Kalengan sarden dengan minyak zaitun
,Susu Enak,Rp 15000,15,Susu kental manis dalam kemasan
